Player,Inns,Wkts,Ave,Econ,SR,Z_Wkts,Z_Ave,Z_Econ,Z_SR,Overall_Score
WD Parnell,39.0,41.0,25.31,8.31,18.2,-0.23395923779158578,0.14057762725840242,1.2078390262399548,-0.4079467365835918,-0.2936072886765878
HH Pandya,39.0,38.0,25.68,8.35,18.4,-0.39705875865412743,0.20322780002358307,1.2582600737706084,-0.3588164800802907,-0.3749325380920071
Hasan Ali,30.0,35.0,25.05,8.47,17.7,-0.5601582795166691,0.09655318153151918,1.4095232163625742,-0.530772377841845,-0.38386557489222933
DJ Bravo,56.0,52.0,28.26,8.46,20.0,0.36407233870440026,0.6400857614672743,1.3969179544799109,0.03422557194611978,-0.4267892372972261
JW Dernbach,33.0,39.0,26.15,8.71,18.0,-0.3426922516999469,0.2828104519144878,1.7120495015465036,-0.4570769930868929,-0.4701188030185114
SC Williams,37.0,32.0,27.81,7.23,23.0,-0.7232578003792107,0.5638896054015138,-0.15352925708772608,0.7711794194956388,-0.47619939204715933
Mahmudullah,54.0,31.0,27.77,7.3,22.8,-0.7776243073333913,0.5571166137512241,-0.06529242390908087,0.7220491629923377,-0.49787441504196805
GJ Maxwell,40.0,26.0,27.07,7.48,21.6,-1.049456842104294,0.43858925987115305,0.16160228997886666,0.42726762397253026,-0.519229003981711
KD Mills,42.0,43.0,28.55,8.21,20.8,-0.12522622388322469,0.689189950931875,1.081786407413318,0.23074659795932503,-0.5317372950469357
JE Taylor,30.0,33.0,26.15,8.63,18.1,-0.6688912934250302,0.2828104519144878,1.6112074064851938,-0.4325118648352419,-0.5325993217473675
AD Mathews,57.0,37.0,29.75,6.81,26.1,-0.451425265608308,0.8923797004405684,-0.6829502561596029,1.532698395296809,-0.5483882762965206
Wahab Riaz,30.0,30.0,27.1,8.0,20.3,-0.8319908142875718,0.44366900360887057,0.817075907877379,0.10792095670107187,-0.5501641706187234
MN Samuels,30.0,22.0,28.27,7.79,21.7,-1.2669228699210162,0.6417790093798463,0.5523654083414412,0.4518327522241804,-0.728225009966621
RA Jadeja,46.0,35.0,31.22,7.18,26.0,-0.5601582795166691,1.1412871435887175,-0.21655556650104552,1.508133267045158,-0.7482557809123748
JP Duminy,41.0,21.0,28.52,7.76,22.0,-1.3212893768751968,0.6841102071941575,0.5145496226934497,0.5255281369791325,-0.7613693359354842
KA Pollard,44.0,28.0,29.64,8.55,20.7,-0.9407238281959329,0.8737539734022716,1.510365311423884,0.20618146970767406,-0.8827561456824405
NLTC Perera,64.0,51.0,31.92,9.26,20.6,0.3097058317502197,1.2598144974687893,2.4053389050930063,0.18161634145602396,-0.8842659780668999
CB Mpofu,30.0,31.0,30.64,8.8,20.8,-0.7776243073333913,1.043078764659516,1.8254968584904767,0.23074659795932503,-0.9692366321106772
P Utseya,35.0,26.0,33.0,6.87,28.8,-1.049456842104294,1.442685272026613,-0.6073186848636201,2.195956858091376,-1.0201950718396657
CR Brathwaite,39.0,31.0,32.67,8.57,22.8,-0.7776243073333913,1.3868080909117226,1.5355758351892108,0.7220491629923377,-1.1055143491066657
JA Morkel,46.0,26.0,33.23,8.01,24.8,-1.049456842104294,1.4816299740157788,0.8296811697600425,1.2133517280253505,-1.1435299284763665
PW Borren,30.0,18.0,33.5,6.87,29.2,-1.4843888977377384,1.5273476676552353,-0.6073186848636201,2.294217371097978,-1.174658812906833
Mashrafe Mortaza,53.0,42.0,36.35,8.04,27.1,-0.17959273083740523,2.0099233227383824,0.8674969554080328,1.7783496778133152,-1.2088406716992839
TT Bresnan,34.0,24.0,36.95,8.02,27.6,-1.1581898560126551,2.1115181974927295,0.8422864316427059,1.9011753190715683,-1.5032924510549148
AD Russell,40.0,25.0,36.32,9.15,23.8,-1.1038233490584746,2.004843579000665,2.266681024383706,0.967700445508844,-1.5857620994879222
PR Stirling,33.0,16.0,37.5,7.69,29.2,-1.5931219116460995,2.2046468326842135,0.4263127895148045,2.294217371097978,-1.6295747262357738
SR Thompson,30.0,18.0,37.22,8.48,26.3,-1.4843888977377384,2.157235891132185,1.4221284782452377,1.58182865180011,-1.6613954797288177
Ahmed Raza,35.0,20.0,38.95,6.47,36.1,-1.3756558838293773,2.4501677800072184,-1.111529160170169,3.9892112204618724,-1.6758764310320746
JDP Oram,32.0,19.0,41.73,8.71,28.7,-1.4300223907835579,2.9208906997023574,1.7120495015465036,2.171391729839725,-2.0585885804680357
