Player,Innings,Runs,Average,Strike Rate,Z_Runs,Z_Average,Z_Strike Rate,Overall_Score
CK Kapugedera,38.0,703.0,22.67,118.95,-0.7021236402940793,-0.37146744642789487,-0.622759344814132,-0.5654501438453686
W Barresi,41.0,799.0,22.82,114.96,-0.524096057537173,-0.3517806399708129,-0.9206015686757796,-0.5988260887279218
PD Collingwood,33.0,583.0,18.8,127.01,-0.924658118740212,-0.8793870530206155,-0.021103123178824897,-0.6083827649798841
WTS Porterfield,59.0,1079.0,20.35,111.12,-0.004848941162863153,-0.6759567196307661,-1.2072467164524014,-0.6293507924153435
TG Southee,30.0,220.0,12.22,146.66,-1.5978249160397637,-1.742981629604621,1.4457138439593606,-0.6316975672283415
GC Wilson,65.0,1239.0,21.73,104.55,0.2918636967653139,-0.4948381002256101,-1.6976786489764673,-0.6335510174789211
Soumya Sarkar,46.0,791.0,17.19,122.06,-0.5389316894335818,-1.0906921089932977,-0.3906066339846277,-0.673410144137169
PW Borren,38.0,638.0,19.33,121.75,-0.8226631494524012,-0.8098270035389254,-0.41374725789367817,-0.6820791369616681
Asghar Afghan,60.0,1167.0,20.83,105.89,0.1583430096976342,-0.6129589389681035,-1.5976514359502496,-0.6840891217402396
DR Smith,32.0,582.0,18.18,122.78,-0.9265125727272631,-0.9607591863765553,-0.33686066877651105,-0.7413774759601098
Mashrafe Mortaza,39.0,377.0,13.46,136.1,-1.30667564007274,-1.5802373628927415,0.6574396875736481,-0.7431577717972778
CO Obuya,33.0,691.0,25.59,106.47,-0.7243770881386925,0.011769052603304877,-1.5543560750881558,-0.755654703541181
Nizakat Khan,32.0,576.0,18.0,120.5,-0.9376392966495697,-0.984383354125054,-0.5070562252688808,-0.8096929586811681
JEC Franklin,31.0,463.0,20.13,118.41,-1.1471925971863448,-0.704830702434487,-0.6630688187202199,-0.8383640394470173
ADS Fletcher,40.0,765.0,21.25,108.2,-0.5871474930969106,-0.5578358808882732,-1.425216464240875,-0.8567332794086862
D Ramdin,50.0,636.0,18.7,115.42,-0.8263720574265033,-0.8925115906586705,-0.8862638686817044,-0.8683825055889594
SR Thompson,30.0,328.0,14.9,129.13,-1.3975438854382443,-1.3912440209047525,0.13714888548951812,-0.8838796736178263
Gulbadin Naib,37.0,472.0,17.48,120.1,-1.1305025113028848,-1.052630949842939,-0.5369150948289461,-0.9066828519915898
Rohan Mustafa,37.0,605.0,16.8,116.12,-0.8838601310250876,-1.1418778057817114,-0.8340108469515907,-0.9532495945861298
CJ Chibhabha,32.0,621.0,19.4,108.94,-0.8541888672322699,-0.800639827192287,-1.3699775555547553,-1.008268749993104
LD Chandimal,47.0,800.0,18.6,104.43,-0.5222416035501218,-0.905636128296725,-1.7066363098444859,-1.044838013897111
Nawroz Mangal,32.0,505.0,18.03,111.47,-1.0693055297301983,-0.9804459928336373,-1.181120205587345,-1.0769572427170602
GH Dockrell,33.0,251.0,13.21,121.25,-1.5403368424411794,-1.6130487069878785,-0.4510708448437592,-1.2014854647576056
MD Shanaka,35.0,434.0,15.5,112.43,-1.200971762810827,-1.3124967950764237,-1.1094589186431887,-1.207642492176813
PM Seelaar,40.0,464.0,16.0,109.69,-1.1453381431992937,-1.2468741068861497,-1.3139921751296337,-1.2354014750716924
Karim Sadiq,36.0,538.0,14.94,109.12,-1.0081085481575118,-1.3859942058495307,-1.3565410642527256,-1.2502146060865893
