Player,Player,Date,Opponent,Event_Name,Event_Stage,Venue,Toss_Decision,Dismissal_Kind,Dismissed_By,Caught_By,Wicket_Kinds
R Powell,R Powell,2018-07-25,Bangladesh,Bangladesh tour of West Indies and United States of America,,Providence Stadium,field,bowled,Rubel Hossain,,
R Powell,R Powell,2018-07-28,Bangladesh,Bangladesh tour of West Indies and United States of America,,"Warner Park, Basseterre",bat,Not Out,,,
R Powell,R Powell,2018-10-21,India,West Indies tour of India,,Barsapara Cricket Stadium,field,bowled,RA Jadeja,,
R Powell,R Powell,2018-10-24,India,West Indies tour of India,,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,bat,caught,Kuldeep Yadav,RG Sharma,
R Powell,R Powell,2018-10-27,India,West Indies tour of India,,Maharashtra Cricket Association Stadium,field,caught,Kuldeep Yadav,RG Sharma,
R Powell,R Powell,2018-10-29,India,West Indies tour of India,,Brabourne Stadium,bat,bowled,KK Ahmed,,
R Powell,R Powell,2018-11-01,India,West Indies tour of India,,Greenfield International Stadium,bat,caught,KK Ahmed,S Dhawan,
R Powell,R Powell,2018-12-09,Bangladesh,West Indies tour of Bangladesh,,"Shere Bangla National Stadium, Mirpur",bat,caught,Mashrafe Mortaza,Liton Das,caught
R Powell,R Powell,2018-12-11,Bangladesh,West Indies tour of Bangladesh,,"Shere Bangla National Stadium, Mirpur",field,caught,Mashrafe Mortaza,Soumya Sarkar,caught
R Powell,R Powell,2018-12-14,Bangladesh,West Indies tour of Bangladesh,,Sylhet International Cricket Stadium,field,caught,Mehedi Hasan Miraz,Mushfiqur Rahim,
R Powell,R Powell,2021-01-20,Bangladesh,ICC Men's Cricket World Cup Super League,,Shere Bangla National Stadium,field,caught,Hasan Mahmud,Mushfiqur Rahim,
R Powell,R Powell,2021-01-22,Bangladesh,ICC Men's Cricket World Cup Super League,,Shere Bangla National Stadium,bat,stumped,Mehedi Hasan Miraz,,
R Powell,R Powell,2021-01-25,Bangladesh,West Indies tour of Bangladesh,,Zahur Ahmed Chowdhury Stadium,field,lbw,Soumya Sarkar,,
R Powell,R Powell,2022-06-08,Pakistan,West Indies tour of Pakistan,,Multan Cricket Stadium,bat,caught,Shaheen Shah Afridi,Mohammad Haris,
R Powell,R Powell,2022-06-10,Pakistan,West Indies tour of Pakistan,,Multan Cricket Stadium,bat,caught,Mohammad Nawaz,Mohammad Rizwan,
R Powell,R Powell,2022-06-12,Pakistan,West Indies tour of Pakistan,,Multan Cricket Stadium,bat,caught,Shadab Khan,Fakhar Zaman,
R Powell,R Powell,2022-07-10,Bangladesh,Bangladesh tour of West Indies,,"Providence Stadium, Guyana",field,lbw,Mehedi Hasan Miraz,,
R Powell,R Powell,2022-07-13,Bangladesh,Bangladesh tour of West Indies,,"Providence Stadium, Guyana",field,caught,Shoriful Islam,Mahmudullah,
R Powell,R Powell,2022-07-16,Bangladesh,Bangladesh tour of West Indies,,"Providence Stadium, Guyana",field,bowled,Taijul Islam,,
R Powell,R Powell,2022-07-22,India,India tour of West Indies,,"Queen's Park Oval, Port of Spain, Trinidad",field,caught,YS Chahal,DJ Hooda,
R Powell,R Powell,2022-07-24,India,India tour of West Indies,,"Queen's Park Oval, Port of Spain, Trinidad",bat,caught,SN Thakur,SS Iyer,
R Powell,R Powell,2023-03-18,South Africa,West Indies tour of South Africa,,"Buffalo Park, East London",bat,bowled,G Coetzee,,
R Powell,R Powell,2023-03-21,South Africa,West Indies tour of South Africa,,"Senwes Park, Potchefstroom",field,stumped,BC Fortuin,,
R Powell,R Powell,2023-06-18,United States of America,ICC Cricket World Cup Qualifier,,"Takashinga Sports Club, Highfield, Harare",field,caught,SR Taylor,G Singh,
R Powell,R Powell,2023-06-22,Nepal,ICC Cricket World Cup Qualifier,,Harare Sports Club,field,caught,LN Rajbanshi,Gulsan Jha,
R Powell,R Powell,2023-06-24,Zimbabwe,ICC Cricket World Cup Qualifier,,Harare Sports Club,field,lbw,B Muzarabani,,
R Powell,R Powell,2023-07-27,India,India tour of West Indies,,"Kensington Oval, Bridgetown, Barbados",field,caught,RA Jadeja,Shubman Gill,
R Rampaul,R Rampaul,2003-11-23,Zimbabwe,West Indies tour of Zimbabwe,,"Queens Sports Club, Bulawayo",bat,caught,RW Price,CB Wishart,
R Rampaul,R Rampaul,2003-11-29,Zimbabwe,West Indies tour of Zimbabwe,,Harare Sports Club,field,,,,
